Geographic code,province,Total,Period of immigration - Non-immigrants,Period of immigration - Immigrants,Period of immigration - Before 2001,Period of immigration - 2001 to 2005,Period of immigration - 2006 to 2010,Period of immigration - 2011 to 2016,Period of immigration - Non-permanent residents
10,Newfoundland and Labrador,512250,496410,12080,5545,990,1870,3675,3770
11,Prince Edward Island,139685,129405,8940,3695,555,1335,3360,1340
12,Nova Scotia,908340,842760,55675,30700,5100,8080,11790,9900
13,New Brunswick,730710,692535,33810,17250,2435,4800,9325,4360
24,Quebec,7965450,6788085,1091305,553855,140170,182110,215170,86060
35,Ontario,13242160,9188820,3852145,2426240,490560,463175,472170,201200
46,Manitoba,1240700,996860,227465,93270,22570,48420,63210,16370
47,Saskatchewan,1070560,945810,112495,31515,8670,24370,47935,12260
48,Alberta,3978145,3062780,845220,381370,109145,146915,207790,70155
59,British Columbia,4560235,3167160,1292675,795880,147730,173505,175555,100405
60,Yukon,35110,30265,4410,2240,330,725,1115,440
61,Northwest Territories,41135,37135,3690,1735,510,625,815,310
62,Nunavut,35580,34605,920,420,165,175,165,55