year,GEO,Sex,Type of migrant,AgeGroup,value
2002,Canada,Both sexes,Immigrants,10 to 14 years,13295
2002,Canada,Both sexes,Immigrants,15 to 19 years,12724
2002,Canada,Both sexes,Immigrants,20 to 24 years,17177
2002,Canada,Both sexes,Immigrants,25 to 29 years,31312
2002,Canada,Both sexes,Immigrants,30 to 34 years,31480
2002,Canada,Both sexes,Immigrants,35 to 39 years,21125
2002,Canada,Both sexes,Immigrants,40 to 44 years,13253
2002,Canada,Both sexes,Immigrants,45 to 49 years,8353
2002,Canada,Both sexes,Immigrants,50 to 54 years,5346
2002,Canada,Both sexes,Immigrants,55 to 59 years,4501
2002,Canada,Both sexes,Immigrants,60 to 64 years,3896
2002,Canada,Both sexes,Immigrants,65 to 69 years,2802
2002,Canada,Both sexes,Immigrants,70 to 74 years,1525
2002,Canada,Both sexes,Immigrants,75 to 79 years,730
2002,Canada,Both sexes,Immigrants,80 to 84 years,280
2002,Canada,Both sexes,Immigrants,85 to 89 years,120
2002,Canada,Both sexes,Immigrants,90 to 94 years,34
2002,Canada,Both sexes,Immigrants,95 to 99 years,8
2003,Canada,Both sexes,Immigrants,0 to 4 years,17988
2003,Canada,Both sexes,Immigrants,5 to 9 years,17230
2003,Canada,Both sexes,Immigrants,10 to 14 years,16319
2003,Canada,Both sexes,Immigrants,15 to 19 years,15526
2003,Canada,Both sexes,Immigrants,20 to 24 years,22169
2003,Canada,Both sexes,Immigrants,25 to 29 years,37632
2003,Canada,Both sexes,Immigrants,30 to 34 years,37385
2003,Canada,Both sexes,Immigrants,35 to 39 years,26121
2003,Canada,Both sexes,Immigrants,40 to 44 years,16867
2003,Canada,Both sexes,Immigrants,45 to 49 years,10145
2003,Canada,Both sexes,Immigrants,50 to 54 years,5545
2003,Canada,Both sexes,Immigrants,55 to 59 years,4576
2003,Canada,Both sexes,Immigrants,60 to 64 years,4233
2003,Canada,Both sexes,Immigrants,65 to 69 years,3408
2003,Canada,Both sexes,Immigrants,70 to 74 years,1837
2003,Canada,Both sexes,Immigrants,75 to 79 years,826
2003,Canada,Both sexes,Immigrants,80 to 84 years,367
2003,Canada,Both sexes,Immigrants,85 to 89 years,118
2003,Canada,Both sexes,Immigrants,90 to 94 years,50
2003,Canada,Both sexes,Immigrants,95 to 99 years,1
2004,Canada,Both sexes,Immigrants,0 to 4 years,18918
2004,Canada,Both sexes,Immigrants,5 to 9 years,18799
2004,Canada,Both sexes,Immigrants,10 to 14 years,17859
2004,Canada,Both sexes,Immigrants,15 to 19 years,16311
2004,Canada,Both sexes,Immigrants,20 to 24 years,21227
2004,Canada,Both sexes,Immigrants,25 to 29 years,36855
2004,Canada,Both sexes,Immigrants,30 to 34 years,39078
2004,Canada,Both sexes,Immigrants,35 to 39 years,29188
2004,Canada,Both sexes,Immigrants,40 to 44 years,20241
2004,Canada,Both sexes,Immigrants,45 to 49 years,11665
2004,Canada,Both sexes,Immigrants,50 to 54 years,5229
2004,Canada,Both sexes,Immigrants,55 to 59 years,3090
2004,Canada,Both sexes,Immigrants,60 to 64 years,2058
2004,Canada,Both sexes,Immigrants,65 to 69 years,1584
2004,Canada,Both sexes,Immigrants,70 to 74 years,915
2004,Canada,Both sexes,Immigrants,75 to 79 years,463
2004,Canada,Both sexes,Immigrants,80 to 84 years,206
2004,Canada,Both sexes,Immigrants,85 to 89 years,58
2004,Canada,Both sexes,Immigrants,90 to 94 years,31
2004,Canada,Both sexes,Immigrants,95 to 99 years,5
2005,Canada,Both sexes,Immigrants,0 to 4 years,18109
2005,Canada,Both sexes,Immigrants,5 to 9 years,18587
2005,Canada,Both sexes,Immigrants,10 to 14 years,17581
2005,Canada,Both sexes,Immigrants,15 to 19 years,17937
2005,Canada,Both sexes,Immigrants,20 to 24 years,24341
2005,Canada,Both sexes,Immigrants,25 to 29 years,34602
2005,Canada,Both sexes,Immigrants,30 to 34 years,36407
2005,Canada,Both sexes,Immigrants,35 to 39 years,28230
2005,Canada,Both sexes,Immigrants,40 to 44 years,20172
2005,Canada,Both sexes,Immigrants,45 to 49 years,13197
2005,Canada,Both sexes,Immigrants,50 to 54 years,8144
2005,Canada,Both sexes,Immigrants,55 to 59 years,5964
2005,Canada,Both sexes,Immigrants,60 to 64 years,4360
2005,Canada,Both sexes,Immigrants,65 to 69 years,3182
2005,Canada,Both sexes,Immigrants,70 to 74 years,1665
2005,Canada,Both sexes,Immigrants,75 to 79 years,759
2005,Canada,Both sexes,Immigrants,80 to 84 years,276
2005,Canada,Both sexes,Immigrants,85 to 89 years,81
2005,Canada,Both sexes,Immigrants,90 to 94 years,29
2005,Canada,Both sexes,Immigrants,95 to 99 years,2
2006,Canada,Both sexes,Immigrants,0 to 4 years,16550
2006,Canada,Both sexes,Immigrants,5 to 9 years,16405
2006,Canada,Both sexes,Immigrants,10 to 14 years,16193
2006,Canada,Both sexes,Immigrants,15 to 19 years,16381
2006,Canada,Both sexes,Immigrants,20 to 24 years,24060
2006,Canada,Both sexes,Immigrants,25 to 29 years,35322
2006,Canada,Both sexes,Immigrants,30 to 34 years,33704
2006,Canada,Both sexes,Immigrants,35 to 39 years,25655
2006,Canada,Both sexes,Immigrants,40 to 44 years,18472
2006,Canada,Both sexes,Immigrants,45 to 49 years,12097
2006,Canada,Both sexes,Immigrants,50 to 54 years,7383
2006,Canada,Both sexes,Immigrants,55 to 59 years,5252
2006,Canada,Both sexes,Immigrants,60 to 64 years,4008
2006,Canada,Both sexes,Immigrants,65 to 69 years,2946
2006,Canada,Both sexes,Immigrants,70 to 74 years,1703
2006,Canada,Both sexes,Immigrants,75 to 79 years,805
2006,Canada,Both sexes,Immigrants,80 to 84 years,303
2006,Canada,Both sexes,Immigrants,85 to 89 years,113
2006,Canada,Both sexes,Immigrants,90 to 94 years,30
2006,Canada,Both sexes,Immigrants,95 to 99 years,3
2007,Canada,Both sexes,Immigrants,0 to 4 years,17552
2007,Canada,Both sexes,Immigrants,5 to 9 years,17288
2007,Canada,Both sexes,Immigrants,10 to 14 years,16984
2007,Canada,Both sexes,Immigrants,15 to 19 years,16268
2007,Canada,Both sexes,Immigrants,20 to 24 years,23571
2007,Canada,Both sexes,Immigrants,25 to 29 years,37430
2007,Canada,Both sexes,Immigrants,30 to 34 years,35768
2007,Canada,Both sexes,Immigrants,35 to 39 years,28146
2007,Canada,Both sexes,Immigrants,40 to 44 years,19598
2007,Canada,Both sexes,Immigrants,45 to 49 years,12577
2007,Canada,Both sexes,Immigrants,50 to 54 years,7905
2007,Canada,Both sexes,Immigrants,55 to 59 years,5069
2007,Canada,Both sexes,Immigrants,60 to 64 years,4156
2007,Canada,Both sexes,Immigrants,65 to 69 years,3130
2007,Canada,Both sexes,Immigrants,70 to 74 years,1895
2007,Canada,Both sexes,Immigrants,75 to 79 years,959
2007,Canada,Both sexes,Immigrants,80 to 84 years,403
2007,Canada,Both sexes,Immigrants,85 to 89 years,130
2007,Canada,Both sexes,Immigrants,90 to 94 years,36
2007,Canada,Both sexes,Immigrants,95 to 99 years,9
2008,Canada,Both sexes,Immigrants,0 to 4 years,16821
2008,Canada,Both sexes,Immigrants,5 to 9 years,16859
2008,Canada,Both sexes,Immigrants,10 to 14 years,16716
2008,Canada,Both sexes,Immigrants,15 to 19 years,16173
2008,Canada,Both sexes,Immigrants,20 to 24 years,22810
2008,Canada,Both sexes,Immigrants,25 to 29 years,36839
2008,Canada,Both sexes,Immigrants,30 to 34 years,34178
2008,Canada,Both sexes,Immigrants,35 to 39 years,27234
2008,Canada,Both sexes,Immigrants,40 to 44 years,19576
2008,Canada,Both sexes,Immigrants,45 to 49 years,12878
2008,Canada,Both sexes,Immigrants,50 to 54 years,8294
2008,Canada,Both sexes,Immigrants,55 to 59 years,5442
2008,Canada,Both sexes,Immigrants,60 to 64 years,4313
2008,Canada,Both sexes,Immigrants,65 to 69 years,3152
2008,Canada,Both sexes,Immigrants,70 to 74 years,1992
2008,Canada,Both sexes,Immigrants,75 to 79 years,935
2008,Canada,Both sexes,Immigrants,80 to 84 years,353
2008,Canada,Both sexes,Immigrants,85 to 89 years,111
2008,Canada,Both sexes,Immigrants,90 to 94 years,29
2008,Canada,Both sexes,Immigrants,95 to 99 years,2
2009,Canada,Both sexes,Immigrants,0 to 4 years,19705
2009,Canada,Both sexes,Immigrants,5 to 9 years,19147
2009,Canada,Both sexes,Immigrants,10 to 14 years,17762
2009,Canada,Both sexes,Immigrants,15 to 19 years,16477
2009,Canada,Both sexes,Immigrants,20 to 24 years,22733
2009,Canada,Both sexes,Immigrants,25 to 29 years,41529
2009,Canada,Both sexes,Immigrants,30 to 34 years,39747
2009,Canada,Both sexes,Immigrants,35 to 39 years,30921
2009,Canada,Both sexes,Immigrants,40 to 44 years,21803
2009,Canada,Both sexes,Immigrants,45 to 49 years,14399
2009,Canada,Both sexes,Immigrants,50 to 54 years,8331
2009,Canada,Both sexes,Immigrants,55 to 59 years,5357
2009,Canada,Both sexes,Immigrants,60 to 64 years,4607
2009,Canada,Both sexes,Immigrants,65 to 69 years,3448
2009,Canada,Both sexes,Immigrants,70 to 74 years,2262
2009,Canada,Both sexes,Immigrants,75 to 79 years,1051
2009,Canada,Both sexes,Immigrants,80 to 84 years,380
2009,Canada,Both sexes,Immigrants,85 to 89 years,124
2009,Canada,Both sexes,Immigrants,90 to 94 years,30
2009,Canada,Both sexes,Immigrants,95 to 99 years,7
2010,Canada,Both sexes,Immigrants,0 to 4 years,20543
2010,Canada,Both sexes,Immigrants,5 to 9 years,19503
2010,Canada,Both sexes,Immigrants,10 to 14 years,17787
2010,Canada,Both sexes,Immigrants,15 to 19 years,15539
2010,Canada,Both sexes,Immigrants,20 to 24 years,19913
2010,Canada,Both sexes,Immigrants,25 to 29 years,38519
2010,Canada,Both sexes,Immigrants,30 to 34 years,39189
2010,Canada,Both sexes,Immigrants,35 to 39 years,29728
2010,Canada,Both sexes,Immigrants,40 to 44 years,20934
2010,Canada,Both sexes,Immigrants,45 to 49 years,14038
2010,Canada,Both sexes,Immigrants,50 to 54 years,7504
2010,Canada,Both sexes,Immigrants,55 to 59 years,4730
2010,Canada,Both sexes,Immigrants,60 to 64 years,4038
2010,Canada,Both sexes,Immigrants,65 to 69 years,2994
2010,Canada,Both sexes,Immigrants,70 to 74 years,2121
2010,Canada,Both sexes,Immigrants,75 to 79 years,921
2010,Canada,Both sexes,Immigrants,80 to 84 years,339
2010,Canada,Both sexes,Immigrants,85 to 89 years,109
2010,Canada,Both sexes,Immigrants,90 to 94 years,34
2010,Canada,Both sexes,Immigrants,95 to 99 years,6
2011,Canada,Both sexes,Immigrants,0 to 4 years,18946
2011,Canada,Both sexes,Immigrants,5 to 9 years,18353
2011,Canada,Both sexes,Immigrants,10 to 14 years,16640
2011,Canada,Both sexes,Immigrants,15 to 19 years,14723
2011,Canada,Both sexes,Immigrants,20 to 24 years,21196
2011,Canada,Both sexes,Immigrants,25 to 29 years,42412
2011,Canada,Both sexes,Immigrants,30 to 34 years,39571
2011,Canada,Both sexes,Immigrants,35 to 39 years,28543
2011,Canada,Both sexes,Immigrants,40 to 44 years,20013
2011,Canada,Both sexes,Immigrants,45 to 49 years,13027
2011,Canada,Both sexes,Immigrants,50 to 54 years,7475
2011,Canada,Both sexes,Immigrants,55 to 59 years,5489
2011,Canada,Both sexes,Immigrants,60 to 64 years,4826
2011,Canada,Both sexes,Immigrants,65 to 69 years,3950
2011,Canada,Both sexes,Immigrants,70 to 74 years,2613
2011,Canada,Both sexes,Immigrants,75 to 79 years,1175
2011,Canada,Both sexes,Immigrants,80 to 84 years,431
2011,Canada,Both sexes,Immigrants,85 to 89 years,132
2011,Canada,Both sexes,Immigrants,90 to 94 years,28
2011,Canada,Both sexes,Immigrants,95 to 99 years,3
2012,Canada,Both sexes,Immigrants,0 to 4 years,19014
2012,Canada,Both sexes,Immigrants,5 to 9 years,17659
2012,Canada,Both sexes,Immigrants,10 to 14 years,15437
2012,Canada,Both sexes,Immigrants,15 to 19 years,13310
2012,Canada,Both sexes,Immigrants,20 to 24 years,19660
2012,Canada,Both sexes,Immigrants,25 to 29 years,39961
2012,Canada,Both sexes,Immigrants,30 to 34 years,39294
2012,Canada,Both sexes,Immigrants,35 to 39 years,27712
2012,Canada,Both sexes,Immigrants,40 to 44 years,18670
2012,Canada,Both sexes,Immigrants,45 to 49 years,12213
2012,Canada,Both sexes,Immigrants,50 to 54 years,7647
2012,Canada,Both sexes,Immigrants,55 to 59 years,7482
2012,Canada,Both sexes,Immigrants,60 to 64 years,8478
2012,Canada,Both sexes,Immigrants,65 to 69 years,7466
2012,Canada,Both sexes,Immigrants,70 to 74 years,5218
2012,Canada,Both sexes,Immigrants,75 to 79 years,2390
2012,Canada,Both sexes,Immigrants,80 to 84 years,722
2012,Canada,Both sexes,Immigrants,85 to 89 years,202
2012,Canada,Both sexes,Immigrants,90 to 94 years,43
2012,Canada,Both sexes,Immigrants,95 to 99 years,8
2013,Canada,Both sexes,Immigrants,0 to 4 years,17675
2013,Canada,Both sexes,Immigrants,5 to 9 years,17540
2013,Canada,Both sexes,Immigrants,10 to 14 years,15063
2013,Canada,Both sexes,Immigrants,15 to 19 years,12830
2013,Canada,Both sexes,Immigrants,20 to 24 years,21082
2013,Canada,Both sexes,Immigrants,25 to 29 years,45741
2013,Canada,Both sexes,Immigrants,30 to 34 years,44704
2013,Canada,Both sexes,Immigrants,35 to 39 years,29689
2013,Canada,Both sexes,Immigrants,40 to 44 years,19859
2013,Canada,Both sexes,Immigrants,45 to 49 years,12316
2013,Canada,Both sexes,Immigrants,50 to 54 years,7731
2013,Canada,Both sexes,Immigrants,55 to 59 years,6360
2013,Canada,Both sexes,Immigrants,60 to 64 years,5839
2013,Canada,Both sexes,Immigrants,65 to 69 years,5017
2013,Canada,Both sexes,Immigrants,70 to 74 years,3365
2013,Canada,Both sexes,Immigrants,75 to 79 years,1697
2013,Canada,Both sexes,Immigrants,80 to 84 years,583
2013,Canada,Both sexes,Immigrants,85 to 89 years,166
2013,Canada,Both sexes,Immigrants,90 to 94 years,31
2013,Canada,Both sexes,Immigrants,95 to 99 years,4
